Bulan,Bulan_Num,Tahun,Curah_Hujan,Hari_Hujan,Label,Kuartal,sin_bulan,cos_bulan,Musim_Hujan,Musim_Kemarau,Musim_Peralihan1,Musim_Peralihan2
Januari,1,2020,381,16,Sedang,1,0.4999999999999999,0.8660254037844386,1,0,0,0
Februari,2,2020,558,23,Tinggi,1,0.8660254037844385,0.5000000000000001,1,0,0,0
Maret,3,2020,345,14,Sedang,1,1.0,6.123233995736766e-17,0,0,1,0
April,4,2020,150,13,Sedang,2,0.8660254037844387,-0.4999999999999997,0,0,1,0
Mei,5,2020,81,7,Rendah,2,0.4999999999999999,-0.8660254037844386,0,0,1,0
Juni,6,2020,137,4,Rendah,2,1.2246467991473532e-16,-1.0,0,1,0,0
Juli,7,2020,25,3,Rendah,3,-0.4999999999999997,-0.8660254037844387,0,1,0,0
Agustus,8,2020,17,1,Rendah,3,-0.8660254037844383,-0.5000000000000003,0,1,0,0
September,9,2020,22,3,Rendah,3,-1.0,-1.8369701987210297e-16,0,0,0,1
Oktober,10,2020,136,11,Sedang,4,-0.8660254037844385,0.5,0,0,0,1
November,11,2020,204,14,Sedang,4,-0.5000000000000003,0.8660254037844383,0,0,0,1
Desember,12,2020,387,21,Tinggi,4,-2.4492935982947064e-16,1.0,1,0,0,0
Januari,1,2021,840,30,Tinggi,1,0.4999999999999999,0.8660254037844386,1,0,0,0
Februari,2,2021,397,20,Sedang,1,0.8660254037844385,0.5000000000000001,1,0,0,0
Maret,3,2021,626,23,Tinggi,1,1.0,6.123233995736766e-17,0,0,1,0
April,4,2021,294,11,Sedang,2,0.8660254037844387,-0.4999999999999997,0,0,1,0
Mei,5,2021,78,11,Sedang,2,0.4999999999999999,-0.8660254037844386,0,0,1,0
Juni,6,2021,87,14,Sedang,2,1.2246467991473532e-16,-1.0,0,1,0,0
Juli,7,2021,77,9,Rendah,3,-0.4999999999999997,-0.8660254037844387,0,1,0,0
Agustus,8,2021,104,8,Rendah,3,-0.8660254037844383,-0.5000000000000003,0,1,0,0
September,9,2021,83,11,Sedang,3,-1.0,-1.8369701987210297e-16,0,0,0,1
Oktober,10,2021,245,17,Sedang,4,-0.8660254037844385,0.5,0,0,0,1
November,11,2021,542,26,Tinggi,4,-0.5000000000000003,0.8660254037844383,0,0,0,1
Desember,12,2021,860,28,Tinggi,4,-2.4492935982947064e-16,1.0,1,0,0,0
Januari,1,2022,840,30,Tinggi,1,0.4999999999999999,0.8660254037844386,1,0,0,0
Februari,2,2022,397,20,Sedang,1,0.8660254037844385,0.5000000000000001,1,0,0,0
Maret,3,2022,626,23,Tinggi,1,1.0,6.123233995736766e-17,0,0,1,0
April,4,2022,294,11,Sedang,2,0.8660254037844387,-0.4999999999999997,0,0,1,0
Mei,5,2022,78,11,Sedang,2,0.4999999999999999,-0.8660254037844386,0,0,1,0
Juni,6,2022,87,14,Sedang,2,1.2246467991473532e-16,-1.0,0,1,0,0
Juli,7,2022,77,9,Rendah,3,-0.4999999999999997,-0.8660254037844387,0,1,0,0
Agustus,8,2022,104,8,Rendah,3,-0.8660254037844383,-0.5000000000000003,0,1,0,0
September,9,2022,83,11,Sedang,3,-1.0,-1.8369701987210297e-16,0,0,0,1
Oktober,10,2022,245,17,Sedang,4,-0.8660254037844385,0.5,0,0,0,1
November,11,2022,542,26,Tinggi,4,-0.5000000000000003,0.8660254037844383,0,0,0,1
Desember,12,2022,860,28,Tinggi,4,-2.4492935982947064e-16,1.0,1,0,0,0
